,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО
,423,Услуге по уговору,"2,300,000",,,,"2,300,000"
,426,Материјал,"50,000",,,,"50,000"
,,Свега за пројекат 0602-П1:,"2,350,000",,,,"2,350,000"
,,,,,,,
,,Свега за Програм 15:,"27,443,000",,,,"27,443,000"
,,,,,,,
,,Свега за Раздео 1:,"27,443,000",,,,"27,443,000"
,,,,,,,
,,,,,,,
,,ГРАДСКО ВЕЋЕ И ГРАДОНАЧЕЛНИК,,,,,
,,ПРОГРАМ 15 - ЛОКАЛНА САМОУПРАВА,,,,,
,,Функционисање локалне самоуправе и градских општина,,,,,
,,Функција: Извршни и законодавни органи,,,,,
,411,"Плате, додаци и накнаде запослених (зараде)","21,000,000",,,,"21,000,000"
,412,Социјални доприноси на терет послодавца,"3,750,000",,,,"3,750,000"
,422,Трошкови путовања,"1,100,000",,,,"1,100,000"
,423,Услуге по уговору,"6,800,000",,,,"6,800,000"
,424,Специјализоване услуге,"1,000",,,,"1,000"
,426,Материјал,"2,300,000",,,,"2,300,000"
,465,"Остале донације, дотације и трансфери","2,783,000",,,,"2,783,000"
,,Свега за програмску активност 0602-0001:,"37,734,000",,,,"37,734,000"
,,,,,,,
,,Пројекат: Градска слава - Света Тројица,,,,,
,,"Функција: Извршни и законодавни органи, финансијски и фискални послови и спољни послови",,,,,
,423,Услуге по уговору,"200,000",,,,"200,000"
,426,Материјал,"50,000",,,,"50,000"
,,Свега за пројекат 0602-П2:,"250,000",,,,"250,000"
,,,,,,,
,,Свега за Главу 1:,"37,984,000",,,,"37,984,000"
,,,,,,,
,,Свега за Раздео 2:,"37,984,000",,,,"37,984,000"
,,,,,,,
,,,,,,,
,,ГРАДСКО ЈАВНО ПРАВОБРАНИЛАШТВО,,,,,
,,ПРОГРАМ 15 - ЛОКАЛНА САМОУПРАВА,,,,,
,,Програмска активност: Општинско јавно правобранилаштво,,,,,
,,Функција: Судови,,,,,
,411,"Плате, додаци и накнаде запослених (зараде)","5,865,000",,,,"5,865,000"
,412,Социјални доприноси на терет послодавца,"1,050,000",,,,"1,050,000"
,413,Накнаде у натури,"41,000",,,,"41,000"
,414,Социјална давања запосленима,"10,000",,,,"10,000"
,421,Стални трошкови,"40,000",,,,"40,000"
,422,Трошкови путовања,"50,000",,,,"50,000"
,423,Услуге по уговору,"100,000",,,,"100,000"
,424,Специјализоване услуге,"10,000",,,,"10,000"
,426,Материјал,"90,000",,,,"90,000"
,465,"Остале донације, дотације и трансфери","780,000",,,,"780,000"
,483,"Порези, обавезне таксе, казне и пенали","5,250,000",,,,"5,250,000"
,512,Машине и опрема,"65,000",,,,"65,000"
,,Свега за програмску активност 0602-0004:,"13,351,000",,,,"13,351,000"
,,,,,,,
,,Свега за Програм 15:,"13,351,000",,,,"13,351,000"
,,,,,,,
,,Свега за Главу 1:,"13,351,000",,,,"13,351,000"
,,,,,,,
,,Свега за Раздео 3:,"13,351,000",,,,"13,351,000"
,,,,,,,
,,,,,,,
,,ГРАДСКА УПРАВА,,,,,
,,ПРОГРАМ 1: ЛОКАЛНИ РАЗВОЈ И ПРОСТОРНО ПЛАНИРАЊЕ,,,,,
,,Пројекат: Експропријација земљишта за потребе Фабрике за прераду отпадних вода и заобилазнице до индустријске зоне Бунушевац,,,,,
,,Развој заједнице,,,,,
,541,Земљиште,"27,000,000",,,,"27,000,000"
,,Свега за пројекат 1101-П1:,"27,000,000",,,,"27,000,000"
,,,,,,,
,,Свега за Програм 1:,"27,000,000",,,,"27,000,000"
,,,,,,,
,,,,,,,
,,ПРОГРАМ 3: ЛОКАЛНИ ЕКОНОМСКИ РАЗВОЈ,,,,,
,,Програмска активност: Унапређење привредног амбијента,,,,,
,,Функција: Општи економски и комерцијални послови,,,,,
,423,Услуге по уговору,"200,000",,,"40,000","240,000"
,424,Специјализоване услуге,"100,000",,,,"100,000"
,,Свега за програмску активност 1501-0002:,"300,000",,,"40,000","340,000"
,,,,,,,
,,Програмска активност: Подстицаји за развој предузетништва ,,,,,
,,Функција: Општи економски и комерцијални послови,,,,,
,454,Субвенције приватним предузећима,"10,000,000",,,,"10,000,000"
,4631,Текући трансфери осталим нивоима власти,"2,000,000",,,,"2,000,000"
,,Свега за Програмску активност 1501-0003:,"12,000,000",,,,"12,000,000"
,,,,,,,
,,Програмска активност: Одржавање економске инфраструктуре ,,,,,
,,Функција: Општи економски и комерцијални послови,,,,,
,4511,Текуће субвенције јавним нефинансијским предузећима и организацијама                                                                ,"6,612,000","200,000",,"88,000","6,900,000"
,,Свега за Програмску активност 1501-0004:,"6,612,000","200,000",,"88,000","6,900,000"
,,,,,,,
,,Програмска активност: Финансијска подршка локалном економском развоју ,,,,,
,,Функција: Општи економски и комерцијални послови,,,,,
,441,Отплата домаћих камата,"300,000",,,,"300,000"
,,Свега за Програмску активност 1501-0005:,"300,000",,,,"300,000"
,,,,,,,
,,Пројекат: Стручна пракса 2015,,,,,
,,Функција: Општи економски и комерцијални послови,,,,,
,4631,Текући трансфери осталим нивоима власти,"38,000,000",,,,"38,000,000"
,,Свега за Пројекат 1501-П1:,"38,000,000",,,,"38,000,000"
,,,,,,,
,,Свега за Програм 3:,"57,212,000","200,000",,"128,000","57,540,000"
,,,,,,,
,,,,,,,
,,ПРОГРАМ 7 - ПУТНА ИНФРАСТРУКТУРА,,,,,
,,Пројекат: Увођење видео надзора у центру Града,,,,,
,,Функција: Друмски саобраћај,,,,,
,512,Машине и опрема,"7,400,000",,,,"7,400,000"
,,Свега за пројекат 0701-П1:,"7,400,000",,,,"7,400,000"
,,,,,,,
,,Свега за Програм 7:,"7,400,000",,,,"7,400,000"
,,,,,,,
,,,,,,,
,,ПРОГРАМ 11: СОЦИЈАЛНА И ДЕЧЈА ЗАШТИТА,,,,,
,,Програмска активност: Социјалне помоћи,,,,,
,,Функција: Болест и инвалидност,,,,,
,472,Накнаде за социјалну заштиту из буџета,"3,834,000",,,,"3,834,000"
,,Свега:,"3,834,000",,,,"3,834,000"
,,,,,,,
,,Функција: Породица и деца,,,,,
,472,Накнаде за социјалну заштиту из буџета,"14,700,000",,,"169,000","14,869,000"
,,Свега:,"14,700,000",,,"169,000","14,869,000"
,,,,,,,
,,Функција: Социјална помоћ некласификована на другом месту,,,,,
,472,Накнаде за социјалну заштиту из буџета,"8,000,000",,,"15,039,000","23,039,000"
,,Свега:,"8,000,000",0,0,"15,039,000","23,039,000"
,,,,,,,
,,Свега за Програмску активност 0901-0001:,"26,534,000",0,0,"15,208,000","41,742,000"
,,,,,,,
,,Програмска активност: Подршка социо-хуманитарним организацијама,,,,,
,,Функција: Социјална заштита некласификована на другом месту,,,,,
,472,Накнаде за социјалну заштиту из буџета,"5,779,000",,,,"5,779,000"
,,Свега за Програмску активност 0901-0003:,"5,779,000",,,,"5,779,000"
,,,,,,,
,,Програмска активност: Активности Црвеног крста,,,,,
,,Функција: Социјална заштита некласификована на другом месту,,,,,
,481,Дотације невладиним организацијама,"5,300,000",,,,"5,300,000"
,,Свега за Програмску активност 0901-0005:,"5,300,000",,,,"5,300,000"
,,,,,,,
,,,,,,,
,,Пројектат: Смањење сиромаштва и унапређење могућности запошљавања маргинализованих и угрожених група становништва са фокусом на ресоцијализацију осуђеника,,,,,
,,Функција: Незапосленост,,,,,
,481,Накнаде за социјалну заштиту из буџета,"1,850,000",,,,"1,850,000"
,,Свега за Пројекат 0901-П1:,"1,850,000",,,,"1,850,000"
,,,,,,,
,,,,,,,
,,Пројекат: Смањење сиромаштва и унапређење могућности запошљавања маргинализованих и угрожених група становништва са фокусом на Ромкиње у Србији,,,,,
,,Функција: Незапосленост,,,,,
,481,Дотације невладиним организацијама,"760,000",,,,"760,000"
,,Свега за Пројекат 0901-П2:,"760,000",,,,"760,000"
,,,,,,,
,,Пројекат: Изградња монтажних објеката за трајно решавање смештаја избелих и расељених лица,,,,,
,,Функција: Социјална заштита некласификована на другом месту,,,,,
,511,Зграде и грађевински објекти,"2,250,000",,,,"2,250,000"
,,Свега за Пројекат 0901-П3:,"2,250,000",,,,"2,250,000"
,,,,,,,
,,,,,,,
,,Свега за Програм 11:,"42,473,000",,0,"15,208,000","57,681,000"
,,,,,,,
,,,,,,,
,,ПРОГРАМ 12: ПРИМАРНА ЗДРАВСТВЕНА ЗАШТИТА,,,,,
,,Програмска активност: Функционисање установа примарне здравствене заштите,,,,,
,,Функција: Услуге јавног здравства,,,,,
,424,Специјализоване услуге,"7,700,000",,,,"7,700,000"
,,Свега за Програмску активност 1801-0001:,"7,700,000",,,,"7,700,000"
,,,,,,,
,,Пројекат: Суфинансирање вантелесне оплодње,,,,,
,,Функција: Услуге медицинских центара и породилишта,,,,,
,424,Специјализоване услуге,"4,000,000",,,,"4,000,000"
,,Свега за Пројекат 1801-П1:,"4,000,000",,,,"4,000,000"
,,,,,,,
,,Свега за Програм 12:,"11,700,000",,,,"11,700,000"
,,,,,,,
,,,,,,,
,,ПРОГРАМ 13 - РАЗВОЈ КУЛТУРЕ,,,,,
,,Програмска активност: Подстицаји културном и уметничком стваралаштву,,,,,
,,Функција: Услуге културе,,,,,
,481,Дотације невладиним организацијама,"16,250,000",,,,"16,250,000"
,482,"Порези, обавезне таксе, казне и пенали","600,000",,,,"600,000"
,,Свега за Програмску активност 1201-0002:,"16,850,000",,,,"16,850,000"
,,,,,,,
,,Свега за Програм 13:,"16,850,000",,,,"16,850,000"
,,,,,,,
,,,,,,,
,,ПРОГРАМ 14 - РАЗВОЈ СПОРТА И ОМЛАДИНЕ,,,,,
,,"Програмска активност: Подршка локалним спортским организацијама, удружењима и савезима",,,,,
,,Функција: Услуге рекреације и спорта,,,,,
,481,Дотације невладиним организацијама,"71,000,000",,,,"71,000,000"
,,Свега за Програмску активност 1301-0001:,"71,000,000",,,,"71,000,000"
,,,,,,,
,,"Програмска активност: Подршка предшколском, школском и рекреативном спорту и масовној физичкој култури",,,,,
,,Функција: Услуге рекреације и спорта,,,,,
,424,Специјализоване услуге,"300,000",,,,"300,000"
,,Свега за Програмску активност 1301-0002:,"300,000",,,,"300,000"
,,,,,,,
,,Програмска активност: Одржавање спортске инфраструктуре,,,,,
,,Функција: Услуге рекреације и спорта,,,,,
,511,Зграде и грађевински објекти,"7,500,000",,,,"7,500,000"
,,Свега за Програмску активност 1301-0003:,"7,500,000",,,,"7,500,000"
,,,,,,,0
,,Свега за Програм 14:,"78,800,000",,,,"78,800,000"
,,,,,,,
,,,,,,,
,,ПРОГРАМ 15: ЛОКАЛНА САМОУПРАВА,,,,,
,,Програмска активност: Функционисање локалне самоуправе и градских општина,,,,,
,,Функција: Финансијски и фискални послови,,,,,
,49911,Стална резерва,"4,000,000",,,,"4,000,000"
,49912,Текућа резерва,"10,000,000",,,,"10,000,000"
,,Свега:,"14,000,000",,,,"14,000,000"
,,,,,,,
,,,,,,,
,,Функција: Опште јавне услуге,,,,,
,411,"Плате, додаци и накнаде запослених (зараде)","162,800,000",,,,"162,800,000"
,412,Социјални доприноси на терет послодавца,"29,135,000",,,,"29,135,000"
,413,Накнаде у натури,"665,000",,,,"665,000"
,414,Социјална давања запосленима,"5,500,000",,,,"5,500,000"
,415,Накнаде трошкова за запослене,"2,280,000",,,,"2,280,000"
,416,Награде запосленима и остали посебни расходи,"1,517,000",,,,"1,517,000"
,421,Стални трошкови,"47,000,000",,,,"47,000,000"
,422,Трошкови путовања,"1,350,000",,,,"1,350,000"
,423,Услуге по уговору,"8,000,000",,,,"8,000,000"
,424,Специјализоване услуге,"3,500,000",,,,"3,500,000"
,425,Текуће поправке и одржавање,"5,000,000",,,,"5,000,000"
,426,Материјал,"13,500,000",,,,"13,500,000"
,465,"Остале донације, дотације и трансфери","19,543,000",,,,"19,543,000"
,482,"Порези, обавезне таксе, казне и пенали","1,900,000",,,,"1,900,000"
,512,Машине и опрема,"5,500,000",,,"2,700,000","8,200,000"
,,Свега:,"307,190,000",,,"2,700,000","309,890,000"
,,,,,,,
,,Функција: Цивилна одбрана,,,,,
,424,Специјализоване услуге,"300,000",,,,"300,000"
,426,Материјал,"200,000",,,,"200,000"
,511,Зграде и грађевински објекти,"48,000,000",,,,"48,000,000"
,512,Машине и опрема,"200,000",,,,"200,000"
,,Свега:,"48,700,000",,,,"48,700,000"
,,,,,,,
,,Функција: Друмски саобраћај,,,,,
,423,Услуге по уговору,"930,000",,,,"930,000"
,424,Специјализоване услуге,"150,000",,,,"150,000"
,426,Материјал,"130,000",,,,"130,000"
,4631,Трансфери,"40,000",,,,"40,000"
,511,Зграде и грађевински објекти,"600,000",,,,"600,000"
,512,Машине и опрема,"3,000,000",,,,"3,000,000"
,,Свега:,"4,850,000",,,,"4,850,000"
,,,,,,,
,,Свега за Програмску активност 0602-0001:,"374,740,000",,,"2,700,000","377,440,000"
,,,,,,,
,,Програмска активност: Управљање јавним дугом,,,,,
,,Функција: Управљање јавним дугом,,,,,
,441,Отплата домаћих камата,"18,550,000",,,,"18,550,000"
,611,Отплата главнице домаћим кредиторима,"119,000,000",,,,"119,000,000"
,,Свега за Програмску активност 0602-0003:,"137,550,000",,,,"137,550,000"
,,,,,,,
,,Програмска активност: Информисање,,,,,
,,Функција: Услуге емитовања и издаваштва,,,,,
,423,Услуге по уговору,"13,000,000",,,,"13,000,000"
,4511,Текуће субвенције јавним нефинансијским предузећима и организацијама                                                                ,"21,000,000",,,,"21,000,000"
,,Свега за Програмску активност 0602-0006:,"34,000,000",,,,"34,000,000"
,,,,,,,
,,Програмска активност: Програми националних мањина,,,,,
,,Функција: Социјална заштита некласификована на другом месту,,,,,
,472,Накнаде за социјалну заштиту из буџета,"2,100,000",,,,"2,100,000"
,481,Дотације невладиним организацијама,"500,000",,,,"500,000"
,,Свега за Програмску активност 0602-0008:,"2,600,000",,,,"2,600,000"
,,,,,,,
,,Свега за Програм 15:,"548,890,000",,,"2,700,000","551,590,000"
,,,,,,,
,,Свега за Главу 1:,"790,325,000","200,000",0,"18,036,000","808,561,000"
,,,,,,,
,,,,,,,
,,ГРАДСКА ОПШТИНА ВРАЊСКА БАЊА,,,,,
,,ПРОГРАМ 15 - ЛОКАЛНА САМОУПРАВА,,,,,
,,Програмска активност: Функционисање локалне самоуправе и градских општина,,,,,
,,Функција: Опште јавне услуге некласификоване на другом месту;,,,,,
,,Текући трансфери осталим нивоима власти,"73,525,000",,,,"73,525,000"
,,Капитални трансфери осталим нивоима власти,"13,356,000",,,,"13,356,000"
,,Свега за Програмску активност 0602-0001:,"86,881,000",,,,"86,881,000"
,,,,,,,
,,Свега за Програм 15:,"86,881,000",,,,"86,881,000"
,,,,,,,
,,Свега за Главу 2:,"86,881,000",,,,"86,881,000"
,,,,,,,
,,,,,,,
,,СКУПШТИНА ОПШТИНЕ,,,,,
,4631,"Плате, додаци и накнаде запослених (зараде)                                                                 ","2,100,000",,,,
,4631,Социјални доприноси на терет послодавца                                                                  ,"376,000",,,,
,4631,Посланички додатак                                                                     ,"1,260,000",,,,
,4631,Трошкови путовања                                                                     ,"55,000",,,,
,4631,Услуге по уговору                                                                    ,"230,000",,,,
,4631,"Остале донације, дотације и трансфери","275,000",,,,
,,Свега,"4,296,000",,,,0
,,,,,,,
,,ПРЕДСЕДНИК ОПШТИНЕ И ОПШТИНСКО ВЕЋЕ,,,,,
,4631,"Плате, додаци и накнаде запослених (зараде)                                                                 ","2,723,000",,,,
,4631,Социјални доприноси на терет послодавца                                                                  ,"487,000",,,,
,4631,Трошкови путовања                                                                     ,"70,000",,,,
,4631,Услуге по уговору                                                                    ,"1,196,000",,,,
,4631,"Остале донације, дотације и трансфери","357,000",,,,
,,Свега,"4,833,000",,,,0
,,,,,,,
,,ОПШТИНСКА УПРАВНА ЈЕДИНИЦА,,,,,
,4631,"Плате, додаци и накнаде запослених (зараде)                                                                 ","4,395,000",,,,
,4631,Социјални доприноси на терет послодавца                                                                  ,"787,000",,,,
,4631,Социјална давања запосленима                                                                    ,"50,000",,,,
,4631,Накнаде трошкова за запослене                                                                   ,"550,000",,,,
,4631,Награде запосленима и остали посебни расходи                                                                 ,"21,000",,,,
,4631,Стални трошкови                                                                     ,"1,370,000",,,,
,4631,Трошкови путовања                                                                     ,"330,000",,,,
,4631,Услуге по уговору                                                                    ,"1,945,000",,,,
,4631,Специјализоване услуге                                                                     ,"1,950,000",,,,
,4631,Текуће поправке и одржавање                                                                   ,"615,000",,,,
,4631,Материјал                                                                      ,"600,000",,,,
,4631,"Остале донације, дотације и трансфери","621,000",,,,
,4631,Накнаде за социјалну заштиту из буџета                                                                 ,"800,000",,,,
,4631,"Порези, обавезне таксе, казне и пенали                                                                 ","20,000",,,,
,4632,Зграде и грађевински објекти                                                                   ,0,,,,
,4632,Машине и опрема                                                                    ,"325,000",,,,
,4632,Нематеријална имовина                                                                     ,"70,000",,,,
,,Свега,"14,449,000",,,,0
,,,,,,,
,,УПРАВА БАЊЕ,,,,,
,4631,"Плате, додаци и накнаде запослених (зараде)","12,000,000",,,,"12,000,000"
,4631,Социјални доприноси на терет послодавца,"2,300,000",,,,"2,300,000"
,4631,Накнаде у натури,"550,000",,,,"550,000"
,4631,Социјална давања запосленима,"353,000",,,,"353,000"
,4631,Накнаде трошкова за запослене,"65,000",,,,"65,000"
,4631,Награде запосленима и остали посебни расходи;,"200,000",,,,"200,000"
,4631,Стални трошкови;,"1,445,000",,,,"1,445,000"
,4631,Трошкови путовања;,"120,000",,,,"120,000"
,4631,Услуге по уговору;,"1,800,000",,,,"1,800,000"
,4631,Специјализоване услуге;,"300,000",,,,"300,000"
,4631,Текуће поправке и одржавање;,"350,000",,,,"350,000"
,4631,Материјал,"1,170,000",,,,"1,170,000"
,4631,Камате за кашњење,"100,000",,,,"100,000"
,4631,Остале дотације и трансфери,"1,300,000",,,,"1,300,000"
,4631,"Порези, обавезне таксе, казне и пенали;","500,000",,,,"500,000"
,4631,Новчане казне и пенали по решењу судова;,"500,000",,,,"500,000"
,4632,Машине и опрема;,"70,000",,,,"70,000"
,4632,Залихе робе за даљу продају,"1,000",,,,"1,000"
,,Свега,"23,124,000",,,,"23,124,000"
,,,,,,,
,,Друмски саобраћај,,,,,
,4631,Специјализоване услуге;,"450,000",,,,"450,000"
,,Одржавање пружних прелаза,,,,,0
,4631,Текуће поправке и одржавање;,"2,900,000",,,,"2,900,000"
,,Текуће одржавање саобраћајница                                 у летњим и и зимским условима ,,,,,0
,4631,Материјал,"609,000",,,,"609,000"
,,Саобраћајна сигнализација                ,,,,,0
,4632,Зграде и грађевински објекти;,"950,000",,,,"950,000"
,,Израда пројектно-техничке документације,,,,,0
,,Свега,"4,909,000",,,,"4,909,000"
,,,,,,,
,,Изградња Балон сале - завршетак I и II фаза,,,,,
,4632,Зграде и грађевински објекти,"10,000,000",,,,"10,000,000"
,,Свега,"10,000,000",,,,"10,000,000"
,,,,,,,
,,Уређивање и одржавање зеленила,,,,,
,4631,Специјализоване услуге,"485,000",,,,"485,000"
,4632,Машине и опрема,"300,000",,,,"300,000"
,,Свега,"785,000",,,,"785,000"
,,,,,,,
,,Уређење водотокова,,,,,
,4631,Услуге по уговору,"20,000",,,,"20,000"
,4631,Текуће поправке и одржавање,"460,000",,,,"460,000"
,4631,Порези обавезне таксе казне и пенали,"20,000",,,,"20,000"
,4632,Зграде и грађевински објекти,"150,000",,,,"150,000"
,,,"650,000",,,,"650,000"
,,,,,,,
,,Екпропријација и припремање грађевинског земљишта,,,,,
,4631,"Порези, обавезне таксе и пенали","100,000",,,,"100,000"
,4632,Земљиште;,"500,000",,,,"500,000"
,,Свега,"600,000",,,,"600,000"
,,,,,,,
,,Изградња канализационе мреже,,,,,
,4632,Зграде и грађевински објекти,"900,000",,,,"900,000"
,,Свега,"900,000",,,,"900,000"
,,,,,,,
,,Улична расвета,,,,,
,4631,Стални трошкови;,"20,000,000",,,,"20,000,000"
,4631,Текуће поправке и одржавање;,"1,345,000",,,,"1,345,000"
,4631,Материјал,"900,000",,,,"900,000"
,4632,Зграде и грађевински објекти,"90,000",,,,"90,000"
,,Свега,"22,335,000",,,,"22,335,000"
,,,,,,,
,,Свега за главу,"63,303,000",,,,"63,303,000"
,,,,,,,
,,МЕСНЕ ЗАЈЕДНИЦЕ,,,,,
,,ПРОГРАМ 2: КОМУНАЛНЕ ДЕЛАТНОСТИ,,,,,
,,Програмска активност: Јавна расвета,,,,,
,,Функција: Улична расвта,,,,,
,511,Зграде и грађевински објекти,"2,000,000",,,,"2,000,000"
,,Свега за Програмску активност 0601-0010:,"2,000,000",,,,"2,000,000"
,,,,,,,
,,Свега за Програм 2:,"2,000,000",,,,"2,000,000"
,,,,,,,
,,,,,,,
,,ПРОГРАМ 7: ПУТНА ИНФРАСТРУКТУРА,,,,,
,,Програмска активност: Одржавање путева,,,,,
,,Функција: Друмски саобраћај,,,,,
,425,Текуће поправке и одржавање,"15,000,000",,,,"15,000,000"
,,Свега за Програмску активност 0701-0002:,"15,000,000",,,,"15,000,000"
,,,,,,,
,,Пројекат: Асфалтирање путева у сеоским МЗ,,,,,
,,Функција: Друмски саобраћај,,,,,
,511,Зграде и грађевински објекти,"2,234,000",,,"9,166,000","11,400,000"
,,Свега за Пројекат 0701-П2:,"2,234,000",,,"9,166,000","11,400,000"
,,,,,,,
,,Свега за Програм 7:,"17,234,000",,,"9,166,000","26,400,000"
,,,,,,,
,,ПРОГРАМ 15 - ЛОКАЛНА САМОУПРАВА,,,,,
,,Програмска активност: Месне заједнице,,,,,
,,Функција: Опште јавне услуге некласификоване на другом месту;,,,,,
,421,Стални трошкови,"100,000",,,,"100,000"
,423,Услуге по уговору,"400,000",,,,"400,000"
,425,Текуће поправке и одржавање,"1,500,000",,,,"1,500,000"
,511,Зграде и грађевински објекти,0,,,"10,227,000","10,227,000"
,,Свега за Програмску активност 0602-0002:,"2,000,000",,,"10,227,000","12,227,000"
,,,,,,,
,,Свега за Програм 15:,"2,000,000",,,"10,227,000","12,227,000"
,,,,,,,
,,Свега за Главу 3:,"21,234,000",,,"10,227,000","40,627,000"
,,,,,,,
,,,,,,,
,,КАНЦЕЛАРИЈА ЗА МЛАДЕ ,,,,,
,,ПРОГРАМ 15 - ЛОКАЛНА САМОУПРАВА,,,,,
,,Програмска активност: Канцеларија за младе,,,,,
,,Функција: Опште јавне услуге - истраживање и развој,,,,,
,421,Стални трошкови,"210,000",,,,"210,000"
,426,Материјал,"10,000",,,,"10,000"
,,Свега за Програмску активност 0602-0007:,"220,000",,,,"220,000"
,,,,,,,
,,Свега за Програм 15:,"220,000",,,,"220,000"
,,,,,,,
,,Свега за Главу 4:,"220,000",,,,"220,000"
,,,,,,,
,,ФОНД ЗА РАЗВОЈ ПОЉОПРИВРЕДЕ,,,,,
,,ПРОГРАМ 5: РАЗВОЈ ПОЉОПРИВРЕДЕ,,,,,
,,Програмска активност: Унапређење  услова за пољопривредну делатност,,,,,
,,Функција: Пољопривреда,,,,,
,423,Услуге по уговору,"1,000,000",,,,"1,000,000"
,425,Текуће поправке и одржавање,"1,000,000",,,,"1,000,000"
,4511,Текуће субвенције јавним нефинансијским предузећима и организацијама                                                                ,"2,500,000",,,,"2,500,000"
,512,Машине и опрема,"6,000,000",,,,"6,000,000"
,514,Култивисана имовина,"18,000,000",,,,"18,000,000"
,,Свега за Програмску активност 0101-0001:,"28,500,000",,,,"28,500,000"
,,,,,,,
,,Свега за Програм 5:,"28,500,000",,,,"28,500,000"
,,,,,,,
,,Свега за Главу 5:,"28,500,000",,,,"28,500,000"
,,,,,,,
,,,,,,,
,,РАЗВОЈНИ ФОНД,,,,,
