,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО
,424,Специјализоване услуге,"4,650,383","3,500,000",,,"8,150,383"
,425,Текуће поправке и одржавање,"800,000","300,000",,,"1,100,000"
,426,Материјал ,"150,000","750,000",,,"900,000"
,465,Остале дотације и трансфери,"844,300","274,582",,,"1,118,882"
,482,"Порези, таксе и судска решења","100,000","70,000",,,"170,000"
,483,Новчане казне по решењу судова,"50,000","50,000",,,"100,000"
,511,Зграде и грађевински објекти-                            ,"1,000,000",,,,"1,000,000"
,512,опрема,,"2,000,000",,,"2,000,000"
,,Извори фин.за ПА0001,,,,,
,01,Приходи из буџета,"28,391,561","10,800,000",,,"39,191,561"
,,УКУПНО ЗА ГЛАВУ 4.03,"28,391,561","10,800,000",,0.00,"39,191,561"
,,,,,,,
,,МАТИЧНА  БИБЛИОТЕКА ПРОГРАМ 13-РАЗВОЈ КУЛТУРЕ,,,,,
,,Програмска активност 0001-Функционисање локалних установа културе,,,,,
,411,Плате и додаци запослених,"7,855,693","159,120",,,"8,014,813"
,412,Социјални доприноси на терет послодавца,"1,387,064","37,440",,,"1,424,504"
,413,Накнаде у натури,"20,000",,,,"20,000"
,414,Социјалана давања запосленима,"627,443",,,,"627,443"
,415,Накнаде запосленима(превоз),"250,000",,,,"250,000"
,416,"Награде , бонуси и остали посеб. Расх","250,000",,,,"250,000"
,421,Стални трошкови,"1,800,000",,,,"1,800,000"
,422,Трошкови путовања,"340,000","35,000",,,"375,000"
,423,Услуге по уговору,"310,000",,,,"310,000"
,424,Специјализоване услуге,"400,000",,,,"400,000"
,425,Текуће поправке и одржавање,"400,000",,,,"400,000"
,426,Материјал,"560,000",,,,"560,000"
,465,Остале дот.и трансфери,"1,207,280","13,440",,,"1,220,720"
,482,"Порези, таксе, казне","50,000",,,,"50,000"
,512,Maшине и  опрема,"650,000",,,,"650,000"
,515,Књиге,"1,400,000",,,,"1,400,000"
,,Извори фин.за ПА-0001,,,,,
,01,Приходи из буџета,"17,507,480","245,000",0,,"17,752,480"
,,УКУПНО ЗА ГЛАВУ 4.04,"17,507,480","245,000",0,,"17,752,480"
,,,,,,,
,, М  У  З  Е  Ј  ПРОГРАМ 13-РАЗВОЈ КУЛТУРЕ,,,,,
,,Програмска активност 0001-Функционисање локалних установа културе,,,,,
,411,Плате и додаци запослених,"4,375,968",,,,"4,375,968"
,412,Социјални доприноси на терет послодавца,"708,765",,,,"708,765"
,414,Социјална давања запосле,"300,377",,,,"300,377"
,415,Накнаде за запослене - превоз,"100,000",,,,"100,000"
,416,Награде бонуси и остали посебни расх,"60,000",,,,"60,000"
,421,Стални трошкови,"1,350,000",,,,"1,350,000"
,422,Трошкови путовања,"915,162",,,,"915,162"
,423,Услуге по уговору,"1,292,118",,,,"1,292,118"
,424,Специјализоване услуге,"956,020",,,,"956,020"
,425,Текуће поправке и одржавање ,"600,000",,,,"600,000"
,426,Материјал,"372,000",,,,"372,000"
,465,Oстале дотације и транс,"436,850",,,,"436,850"
,482,"Порези, таксе и казне","20,000",,,,"20,000"
,511,Пројекти,"980,000",,,,"980,000"
,512,Машине  и  опрема,"350,000",,,,"350,000"
,,Извори фин.за ПА 0001,,,,,
,01,Приходи из буџета,"12,817,260",,,,"12,817,260"
,,УКУПНО ЗА ГЛАВУ 4.05 ,"12,817,260",,,,"12,817,260"
,,,,,,,
,,ИСТОРИЈСКИ АРХИВ ПРОГРАМ 13-РАЗВОЈ КУЛТУРЕ,,,,,
,,Функционисање локалних установа културе,,,,,
,424,Историјски архив,"212,500",,,,"212,500"
,,Извори финан.за ПА 0001,,,,,
,01,Приходи из буџета,"212,500",,,,"212,500"
,,УКУПНО ЗА ГЛАВУ 4.06 ,"212,500",,,,"212,500"
,,УКУПНО ЗА ФУНКЦИЈУ 820 - КУЛТУРА :,"58,928,801","11,045,000",0,,"69,973,801"
,,,,,,,
,,ДЕЧЈИ  ВРТИЋ ПРОГРАМ 8-ПРЕДШК.ВАСП.,,,,,
,,Програмска активност 0001-Функц.предш.установа,,,,,
,411,Плате и социјална давања,"46,800,000",,,,"46,800,000"
,412,Социјални доприн. на терет послодавца,"8,380,000",,,,"8,380,000"
,413,Накнаде у натури,,"50,000",,,"50,000"
,414,Социјална давања запосленима,,"250,000","2,500,000",,"2,750,000"
,415,Накнада за зап.(превоз  у готову),,"1,600,000",,,"1,600,000"
,416,"Награде, бонуси и остали посебни рас",,"700,000",,,"700,000"
,421,Стални трошкови,,"200,000","6,220,000.00",,"6,420,000"
,422,Трошкови путовања,"3,300,000","150,000","2,700,000.00","100,000","6,250,000"
,423,Услуге по уговору,,"1,890,000",,"500,000.00","2,390,000"
,424,Специјализоване услуге,,"600,000",,,"600,000"
,425,Текуће поправке и одржавање,,"2,500,000",,,"2,500,000"
,426,Материјал,,"6,390,000","1,580,000.00","250,000","8,220,000"
,465,Остале дотације и трансфери,"4,600,000",,,,"4,600,000"
,482,"Порези, таксе и казне",,"50,000",,,"50,000"
,511,Зграде и грађевински објекти,,"2,500,000",,,"2,500,000"
,512,Машине и опрема,,,"500,000.00",,"500,000"
,,Извори фин.за ПА 0001,,,,,
,01,Приходи из буџета,"63,080,000","16,880,000","13,500,000","850,000","94,310,000"
,,УКУПНО ЗА ФУНКЦИЈУ 911,"63,080,000","16,880,000","13,500,000","850,000","94,310,000"
,,УКУПНО ЗА  ГЛАВУ 4.07,"63,080,000","16,880,000","13,500,000","850,000","94,310,000"
,,,,,,,
,,,,,,,
,,,,,,,
,,ЦЕНТАР ЗА СОЦ.РАД ПРОГРАМ 11-СОЦ.И ДЕЧ.ЗАШТИТА,,,,,
,,Програмска активност-Социјалне помоћи,,,,,
,463,Трансфери  осталим  нивоима ,"24,730,972",,,,"24,730,972"
,,Извори фин.за ПА 0001,,,,,
,01,Приходи из буџета,"24,730,972",,,,"24,730,972"
,,УКУПНО ЗА ГЛАВУ 4.08,"24,730,972",,,,"24,730,972"
,,,,,,,
,,РАЗВОЈ ЗАЈЕДНИЦЕ ПРОГРАМ 3-ЛОКАЛНИ ЕКОНОМСКИ РАЗВОЈ,,,,,
,,Програмска активност 0002-Унапређење привредног амбијента,,,,,
,423,Подршка међународним пројектима,"10,000,000",,,,"10,000,000"
,451,Субвенције за унапређ. прив. амбијента,"3,530,848",,,,"3,530,848"
,454,Текуће субвенције приватним пред.,"4,000,000",,,,"4,000,000"
,511,Kапитални преојекти,"2,000,000",,,,"2,000,000"
,,Извори  финан. ПА 0002,,,,,
,01,Приходи   из   буџета,"19,530,848",0,,,"19,530,848"
,,УКУПНО ЗА ГЛАВУ 4.09,"19,530,848",,,,"19,530,848"
,,МЕСНЕ ЗАЈЕДНИЦЕ,,,,,
,,Програмска активност 0002-Месне Заједнице ,,,,,
,411,Плате и додаци запослених,"390,000",,,,"390,000"
,412,Соц.доп.на терет посл.,"70,000",,,,"70,000"
,421,Стални  трошкови,"1,542,000",,,,"1,542,000"
,423,Услуге по уговору,"3,082,000",,,,"3,082,000"
,426,Материјал,"900,000",,,,"900,000"
,465,Остале дотације и трансфери,,,,,
,511,Зграде и грађевински објекти,"1,000,000",,,,"1,000,000"
,,Извори  фин.за ПА 0002,,,,,
,01,Приходи   из   буџета,"6,984,000",,,,"6,984,000"
,,,,,,,
,,УКУПНО ЗА  ГЛАВУ 4.10 ,"6,984,000",,,,"6,984,000"
,,УКУПНО ЗА ФУНКЦИЈУ 160,"6,984,000",,,,"6,984,000"
,,ЈАВНИ РЕД И БЕЗБЕДНОСТ ПРОГРАМ 15-ФУНКЦИОНИСАЊЕ ЛОК. САМОУПРАВЕ,,,,,
,,Програмска активност 0001-Функ.ЛС,,,,,
,423,Услуге по уговору,"100,000",,,,"100,000"
,424,Специјализоване услуге,"100,000",,,,"100,000"
,426,Материјал,"640,000",,,,"640,000"
,511,Зграде и грађевински објекти,"464,780",,,,"464,780"
,512,Машине и опрема,"795,220",,,,"795,220"
,,Извори  фин.за ПА 0001,,,,,
,01,Приходи   из   буџета,"2,100,000",,,,"2,100,000"
,,УКУПНОМ  ЗА  ГЛАВУ 4.11 ,"2,100,000",,,,"2,100,000"
,,УКУПНО ЗА ФУНКЦИЈУ 360,"2,100,000",,,,"2,100,000"
,,,,,,,
,,ДИРЕКЦИЈА ЗА ИЗГРАДЊУ ПРОГРАМ 1-ЛОКАЛНИ РАЗВОЈ И ПРОСТОРНО ПЛАНИРАЊЕ,,,,,
,,Програмска активност 0002-Уређивање грађ.земљишта,,,,,
,411,Плате и додаци запослених,"7,210,329",,,,"7,210,329"
,412,Социјални доприноси на терет послодавца,"1,290,650",,,,"1,290,650"
,413,Накнаде у натури,"15,000",,,,"15,000"
,414,Социјална давања за запослене,"787,522",,,,"787,522"
,415,Накнаде за запослене - превоз,"200,000",,,,"200,000"
,416,"Награде, бонуси и ост. посеб. расходи ","77,000",,,,"77,000"
,421,Стални трошкови,"2,100,000",,,,"2,100,000"
,422,Трошкови путовања,"240,000",,,,"240,000"
,423,Услуге по уговору,"8,900,000",,,,"8,900,000"
,424,специјализоване услуге,"4,200,000",,,,"4,200,000"
,425,Текуће поправке и одржавање,"130,000",,,,"130,000"
,426,Материјал,"500,000",,,,"500,000"
,465,Остале дотације и трансфери,"953,563",,,,"953,563"
,482,"Порези, обавезне таксе","450,000",,,,"450,000"
,483,Новчане казне по решењу судова,"800,000",,,,"800,000"
,511,Зграде и грађевински објекти,"94,101,300",,,,"94,101,300"
,512,Машине и опрема,"800,000",,,,"800,000"
,541,Земљиште,"10,000,000",,,,"10,000,000"
,,Извори финан.за ПА-0002,,,,,0
,01,Приходи из буџета,"132,755,364",,,,"132,755,364"
,,,,,,,
,,ДИРЕКЦИЈА ЗА ИЗГРАДЊУ ПРОГРАМ 7-ПУТНА ИНФРАСТРУКТУРА,,,,,
,,Програмска активност 0002-Одржавање путева,,,,,
,425,Текуће поправке и одржавање,"28,054,183",,,,"28,054,183"
,511,Зграде и грађевински објекти,"85,000,000",,,,"85,000,000"
,,Извори финан.за ПА-0002,,,,,0
,01,Приходи из буџета,"113,054,183",,,,"113,054,183"
,,Извори финан.за П1 + П7 ,,,,,
,01,Приходи   из   буџета,"245,809,547",,,,"245,809,547"
,,УКУПНО  ЗА  ГЛАВУ 4.12,"245,809,547",,,,"245,809,547"
,,УКУПНО  ЗА  ФУНКЦИЈУ 620,"265,340,395",,,,"265,340,395"
,,KOMУНАЛНА ДЕЛАТНОСТ ПРОГРАМ 2- КОМУНАЛНА ДЕЛАТНОСТ,,,,,
,,Програмска активност 0008-Јавна хигијена,,,,,
,423,Комунална хигијена ,"34,183,470",,,,"34,183,470"
,,Извори финан за ПА 0008,,,,,
,01,Приходи из буџета,"34,183,470",,,,"34,183,470"
,,,,,,,
,,Програмска активност 0004-Даљинско грејање,,,,,
,451,Субвенције грејања,"14,764,152",,,,"14,764,152"
,511,Пројекти,"5,600,000",,,,"5,600,000"
,,Извори финан. за ПА-0004,,,,,
,01,Приходи из буџета,"20,364,152",,,,"20,364,152"
,,,,,,,
,,Програмска активност 0003 -Одржавање депонија,,,,,
,451,Субвенције рег. депоније,"5,000,000",,,,"5,000,000"
,,Извори финан. за ПА-0003,,,,,
,01,Приходи из буџета,"5,000,000",,,,"5,000,000"
,,,,,,,
,,Програмска активност 0009-Уређење и одржавање зеленила,,,,,
,514,Kултивисанa имовинa,"400,000",,,,"400,000"
,,Извори финан.за ПА-0009,,,,,
,01,Приходи из буџета,"400,000",,,,"400,000"
,,Извори финан.за програм 2,,,,,
,01,Приходи из буџета,"59,947,622",,,,"54,947,622"
,,ЗАШТИТА ЖИВОТНЕ СРЕДИНЕ ПРОГРАМ 6,,,,,
,,Програмска активност 0004-Заштита природних вредности и унапређење подручја са природним свост,,,,,
,511,Пројекти,"5,500,000",,,,"5,500,000"
,,Извори финан.за Програм 6,,,,,
,01,Приходи из буџета,"5,500,000",,,,"5,500,000"
,,,,,,,
,,Извори финан.ПРОГРАМ 2+6,,,,,
,01,Приходи из буџета,"65,447,622",,,,"65,447,622"
,,УКУПНО ЗА  ГЛАВУ 4.13,"65,447,622",,,,"65,447,622"
,,УКУПНО ЗА ФУНКЦИЈУ 510 ,"65,447,622",,,,"65,447,622"
,,,,,,,
,,JAВНА   РАСВЕТА ПРОГРАМ 2-КОМУНАЛНА ДЕЛАТНОСТ,,,,,
,,Програмска активност 0010-Јавна расвета,,,,,
,421,Стални трошкови - електрична енегија,"24,200,000",,,,"24,200,000"
,,Извори финансирања за ПА-0010,,,,,
,01,Приходи из буџета,"24,200,000",,,,"24,200,000"
,,УКУПНО ЗА  ГЛАВУ 4.14,"24,200,000",,,,"24,200,000"
,,УКУПНО ЗА ФУНКЦИЈУ 640 ,"24,200,000",,,,"24,200,000"
,,,,,,,
,,ЛОКАЛНИ  ПРЕВОЗ ПРОГРАМ 2-КОМУНАЛНА ДЕЛАТНОСТ,,,,,
,,Програмска активност 0005-Јавни превоз,,,,,
,451,Субвенције за превоз,"3,000,000",,,,"3,000,000"
,,Извори финансирања за ПА-0005,,,,,
,01,Приходи од буџета,"3,000,000",,,,"3,000,000"
,,УКУПНО ЗА ГЛАВУ 4.15,"3,000,000",,,,"3,000,000"
,,УКУПНО ЗА ФУНКЦИЈУ 455 ,"3,000,000",,,,"3,000,000"
,,,,,,,
,,ИНФОРМИСАЊЕ ПРОГРАМ 15-ЛОКАЛНАСАМОУПРАВА,,,,,
,,Програмска активност 0006-Информисање,,,,,
,423,Услуге информисања,"2,000,000",,,,"2,000,000"
,,Извори финан. за ПА -0006,,,,,
,01,Приходи из буџета,"2,000,000",,,,"2,000,000"
,,УКУПНО ЗА ГЛАВУ 7,"2,000,000",,,,"2,000,000"
,,УКУПНО ЗА ФУНКЦИЈУ 830 ,"2,000,000",,,,"2,000,000"
,,,,,,,
,,ТУРИСТИЧКА ОРГАНИЗАЦИЈА ПРОГРАМ 4-РАЗВОЈ РАЗВОЈ ТУРИЗМА,,,,,0
,,Програмска активност 0002-Туристичка промоција,,,,,
,411,Плате и додаци запослених,"1,864,225",,,,"1,864,225"
,412,Социјални доприн.на терет посл.,"333,703",,,,"333,703"
,414,Социјална давања за запос,"81,498",,,,"81,498"
,415,Накнаде за запослене - превоз,"35,000",,,,"35,000"
,416,Накнаде запос. и остали расходи,"5,000",,,,"5,000"
,421,Стални трошкови,"497,000",,,,"497,000"
,422,Трошкови путовања,"510,000",,,,"510,000"
,423,Услуге по уговору,"3,524,000",,,,"3,524,000"
,424,Специјализоване услуге-програ,"634,000",,,,"634,000"
,425,Текуће поправке и одржавање,"100,000",,,,"100,000"
,426,Материјал,"335,000",,,,"335,000"
,444,Негативне курсне разлике,"5,000",,,,"5,000"
,465,Остале дотације и трансфери,"188,480",,,,"188,480"
,472,Накнаде за социјалну заштиту,"440,000",,,,"440,000"
,483,Новчане казне и пенали,"30,000",,,,"30,000"
,511,Инвестиције,"120,000",,,,"120,000"
,512,Машине и опрема,"60,000",,,,"60,000"
,,Извори фин.за ПА 0002,,,,,
,01,Приходи из буџета,"8,762,906",0,,,"8,762,906"
,,Укупно за главу 4.17,"8,762,906",,,,"8,762,906"
,,УКУПНО ЗА ФУНКЦИЈУ :  473,"8,762,906",0,,,"8,762,906"
,,,,,,,
,,ЗАШТИТА    ЖИВОТНЕ   СРЕДИНЕ ПРОГРАМ 6,,,,,
,,Програмска активност 0001-Управљање заштитом животне сред. И природних вред.,,,,,
,424,Фонд за заштиту животне средине,"1,996,198",,,,"1,996,198"
,,Извори финан.ПА-0001,,,,,
,01,Приходи из буџета,"1,996,198",,,,"1,996,198"
,,УКУПНО ЗА ГЛАВУ 4.18 ,"1,996,198",,,,"1,996,198"
,,УКУПНО ЗА ФУНКЦИЈУ 500,"1,996,198",,,,"1,996,198"
,,,,,,,
,, РАЗВОЈ ПОЉОПРИВРЕДЕ ПРОГРАМ 5,,,,,
,,Програмска активност-0002- Подстицаји пољ.произв.,,,,,
,451,Субвенције,"15,000,000",,,,"15,000,000"
,,Извори фин.за ПА 0002,,,,,
,01,Приходи из буџета,"15,000,000",,,,"15,000,000"
,,Програмска активност-0001 Унапређење услова за пољоп.делат ,,,,,
,511,Пројекти,"7,000,000",,,,"7,000,000"
,,"Извори финан,за ПА-0001",,,,,
,01,Приходи из буџета,"7,000,000",,,,"7,000,000"
,,УКУПНО ЗА ПА 0002+0001,"22,000,000",,,,"22,000,000"
,,УКУПНО ЗА ГЛАВУ 4.19 ,"22,000,000",,,,"22,000,000"
,,УКУПНО ЗА ФУНКЦИЈА 420,"22,000,000",,,,"22,000,000"
,,,,,,,
,,РАЗВОЈ СПОРТА И ОМЛАДИНЕ ПРОГРАМ 14 ,,,,,
,,ПА-Подршка л.с.о.у.и с. ,,,,,
,481,Услуге рекреације и спорта,"29,580,791",,,,"29,580,791"
,,Извори фин.за ПА 0001,,,,,
,01,Приходи из буџета,"29,580,791",,,,"29,580,791"
,,УКУПНО ЗА ГЛАВУ 4.20 ,"29,580,791",,,,"29,580,791"
,,УКУПНО ЗА  ФУНКЦИЈУ :  810,"29,580,791",,,,"29,580,791"
,,,,,,,
,,ДОМ ЗДРАВЉА ПРОГРАМ 12-ПРИМАРНА ЗДРАВСТВЕНА ЗАШТИТА,,,,,
,,ПА 0001-Функцион.установа примарне здрав.заштите,,,,,
,463,Дом  здравља,"21,900,000",,,,"21,900,000"
,,Извори фин.за  ПА 0001,,,,,
,01,Приходи из буџета,"21,900,000",,,,"21,900,000"
,,УКУПНО ЗА ГЛАВУ 4.21 ,"21,900,000",,,,"21,900,000"
,,УКУПНО ЗА ФУНКЦИЈУ  700,"21,900,000",,,,"21,900,000"
,,,,,,,
,,СОЦ.И ДЕЧИЈА ЗАШТИТА ПРОГРАМ 11 ,,,,,
,,Програмска активност Дечија заштита,,,,,
,472,Накнада за социјалну заштиту,"25,563,418",,,,"25,563,418"
,,Извори фин.за ПА-0006,,,,,
,01,Приходи из буџета,"25,563,418",,,,"25,563,418"
,,УКУПНО ЗА ГЛАВУ 4.22 ,"25,563,418",,,,"25,563,418"
,,УКУПНО ЗА ФУНКЦИЈУ 040 ,"50,294,390",,,,"50,294,390"
,,,,,,,
,,ЦРВЕНИ  КРСТ ПРОГРАМ 11-СОЦИЈАЛНА И ДЕЧИЈА ЗАШТИТА,,,,,
,,ПА 0005-Активности Црвеног крста,,,,,
,481,Дотације ,"4,890,000",,,,"4,890,000"
,,Извори фин. за ПА 0005,,,,,
,01,Приходи из буџета,"4,890,000",,,,"4,890,000"
,,УКУПНО ЗА ГЛАВУ 4.23,"4,890,000",,,,"4,890,000"
,,УКУПНО ЗА ФУНКЦИЈУ :  090,"4,890,000",,,,"4,890,000"
,,,,,,,
,,,,,,,
,,УКУПНО РАСП. РАСХОДИ :,"958,233,517","27,925,000","13,500,000","850,000","1,000,508,517"
